=== MÉTRICAS FINALES ===
Distancia recorrida (m),Distancia óptima (m),Diferencia (m),Eficiencia (%),Compensación inicial (m)
13.36,10.67,2.69,79.84,0.00

=== RUTAS POSIBLES ===
Número de Ruta,Waypoints,Distancia (m),Es Óptima
201,start -> cerdo R -> huevo R -> helado R -> yuca R -> papa R -> res R -> cashier,16.29,No
202,start -> cerdo R -> papa R -> huevo R -> res R -> yuca R -> helado R -> cashier,16.29,No
203,start -> cerdo R -> huevo R -> helado R -> res R -> papa R -> yuca R -> cashier,16.30,No
204,start -> huevo R -> cerdo R -> papa R -> helado R -> yuca R -> res R -> cashier,16.33,No
205,start -> res R -> helado R -> papa R -> yuca R -> cerdo R -> huevo R -> cashier,16.33,No
206,start -> yuca R -> papa R -> cerdo R -> helado R -> res R -> huevo R -> cashier,16.34,No
207,start -> huevo R -> cerdo R -> papa R -> helado R -> res R -> yuca R -> cashier,16.34,No
208,start -> res R -> papa R -> cerdo R -> yuca R -> helado R -> huevo R -> cashier,16.36,No
209,start -> huevo R -> yuca R -> papa R -> res R -> helado R -> cerdo R -> cashier,16.36,No
210,start -> huevo R -> res R -> yuca R -> papa R -> helado R -> cerdo R -> cashier,16.37,No
211,start -> res R -> helado R -> huevo R -> yuca R -> papa R -> cerdo R -> cashier,16.39,No
212,start -> yuca R -> papa R -> cerdo R -> helado R -> huevo R -> res R -> cashier,16.40,No
213,start -> huevo R -> papa R -> cerdo R -> helado R -> yuca R -> res R -> cashier,16.40,No
214,start -> res R -> helado R -> cerdo R -> yuca R -> papa R -> huevo R -> cashier,16.41,No
215,start -> huevo R -> papa R -> cerdo R -> helado R -> res R -> yuca R -> cashier,16.41,No
216,start -> res R -> cerdo R -> huevo R -> yuca R -> papa R -> helado R -> cashier,16.42,No
217,start -> helado R -> huevo R -> yuca R -> res R -> cerdo R -> papa R -> cashier,16.45,No
218,start -> yuca R -> cerdo R -> res R -> papa R -> huevo R -> helado R -> cashier,16.47,No
219,start -> papa R -> cerdo R -> res R -> yuca R -> helado R -> huevo R -> cashier,16.48,No
220,start -> helado R -> cerdo R -> huevo R -> res R -> papa R -> yuca R -> cashier,16.50,No
221,start -> papa R -> res R -> cerdo R -> yuca R -> huevo R -> helado R -> cashier,16.50,No
222,start -> cerdo R -> yuca R -> papa R -> helado R -> res R -> huevo R -> cashier,16.52,No
223,start -> res R -> helado R -> huevo R -> cerdo R -> yuca R -> papa R -> cashier,16.52,No
224,start -> yuca R -> cerdo R -> papa R -> huevo R -> res R -> helado R -> cashier,16.54,No
225,start -> yuca R -> res R -> papa R -> cerdo R -> helado R -> huevo R -> cashier,16.55,No
226,start -> papa R -> cerdo R -> yuca R -> huevo R -> res R -> helado R -> cashier,16.57,No
227,start -> cerdo R -> yuca R -> papa R -> helado R -> huevo R -> res R -> cashier,16.59,No
228,start -> papa R -> yuca R -> cerdo R -> helado R -> res R -> huevo R -> cashier,16.59,No
229,start -> res R -> helado R -> huevo R -> papa R -> yuca R -> cerdo R -> cashier,16.61,No
